번호;영어단어;테마;품사1;의미1;예시문1;품사2;의미2;예시문2;품사3;의미3;예시문3;새 테마
229;severe;음식과 요리;형;심한;Severe weather warnings prompted residents to take shelter.;;;;;;;국제 및 지역
230;decade;일상 및 여가 생활;명;10년;Over the past decade, technological advancements have transformed our lives.;;;;;;;국제 및 지역
231;occupy;일상 및 여가 생활;동;차지하다;The new building will occupy the entire block.;;;;;;;국제 및 지역
232;acquire;일상 및 여가 생활;동;습득하다;Children acquire language skills through exposure and practice.;;;;;;;국제 및 지역
233;interact;기타;동;상호 작용하다;Interactions with peers are crucial for social development.;;;;;;;국제 및 지역
234;brief;일상 및 여가 생활;형;간단한;A brief overview of the project was presented to the stakeholders.;;;;;;;국제 및 지역
235;observe;기타;동;관찰하다;Scientists observe changes in the environment over time.;;;;;;;국제 및 지역
236;poetry;일상 및 여가 생활;명;시;The beauty of poetry lies in its ability to evoke emotions.;;;;;;;국제 및 지역
237;salary;일상 및 여가 생활;명;급료;The company offers competitive salaries to attract top talent.;;;;;;;국제 및 지역
238;grain;일상 및 여가 생활;명;낟알;Each grain of sand tells a story of erosion and deposition.;;;;;;;국제 및 지역
239;meaningful;기타;형;의미 있는;Meaningful relationships enrich our lives and bring us joy.;;;;;;;국제 및 지역
240;weed;일상 및 여가 생활;명;잡초;Weeding the garden is a tedious but necessary task.;;;;;;;국제 및 지역
241;survival;일상 및 여가 생활;명;생존;The instinct for survival is deeply ingrained in all living organisms.;;;;;;;국제 및 지역
242;comment;일상 및 여가 생활;동;논평하다;Readers often comment on blog posts to share their opinions.;;;;;;;국제 및 지역
243;leap;일상 및 여가 생활;명;도약;The athlete's leap across the finish line secured the gold medal.;;;;;;;국제 및 지역
244;survey;일상 및 여가 생활;명;설문 조사;A survey of customer satisfaction revealed areas for improvement.;;;;;;;국제 및 지역
245;typical;일상 및 여가 생활;형;전형적인;A typical day for her involves meetings, emails, and deadlines.;;;;;;;국제 및 지역
246;mere;일상 및 여가 생활;형;단지 ~에 불과한;His complaints are mere excuses for his lack of effort.;;;;;;;국제 및 지역
247;mechanic;일상 및 여가 생활;명;기계공;The mechanic diagnosed the problem with the car engine.;;;;;;;국제 및 지역
248;mood;음악과 엔터테인먼트;명;분위기;The music set the mood for the romantic dinner.;;;;;;;국제 및 지역
249;approve;일상 및 여가 생활;동;승인하다;The committee will approve the budget for the new project.;;;;;;;국제 및 지역
250;rural;일상 및 여가 생활;형;시골의;She longed for the peace and quiet of rural life.;;;;;;;국제 및 지역
251;finance;경제, 금융 및 산업;명;재정;The finance department is responsible for budgeting and financial planning.;;;;;;;국제 및 지역
252;seek;일상 및 여가 생활;동;찾다;The explorers seek treasure in the depths of the jungle.;;;;;;;국제 및 지역
253;operation;일상 및 여가 생활;명;작업;The operation to remove the tumor was successful.;;;;;;;국제 및 지역
254;crime;일상 및 여가 생활;명;범죄;The detective solved the crime using forensic evidence.;;;;;;;국제 및 지역
255;awful;음악과 엔터테인먼트;형;끔찍한;The movie was so awful that I walked out halfway through.;;;;;;;국제 및 지역
256;series;일상 및 여가 생활;명;연속;A series of unfortunate events led to the company's downfall.;;;;;;;국제 및 지역
257;exhausted;일상 및 여가 생활;형;기진맥진한;After a long day at work, she felt physically and mentally exhausted.;;;;;;;국제 및 지역
258;absolute;일상 및 여가 생활;형;절대적인;The dictator ruled with absolute power and authority.;;;;;;;국제 및 지역
259;surround;일상 및 여가 생활;동;둘러싸다;The fortress was surrounded by enemy troops on all sides.;;;;;;;국제 및 지역
260;display;문화와 예술;명;전시;The museum boasts an impressive display of ancient artifacts.;;;;;;;국제 및 지역
261;policy;정치, 법률 및 사회;명;정책;The government announced a new policy to tackle climate change.;;;;;;;국제 및 지역
262;mass;일상 및 여가 생활;명;덩어리;The spacecraft entered the planet's atmosphere at high speed, causing mass panic.;;;;;;;국제 및 지역
263;committee;일상 및 여가 생활;명;위원회;The committee members gathered to discuss the proposed changes.;;;;;;;국제 및 지역
264;accurate;일상 및 여가 생활;형;정확한;The scientist made accurate measurements using advanced equipment.;;;;;;;국제 및 지역
265;arrange;일상 및 여가 생활;동;정리하다;She arranged the flowers in a beautiful bouquet for her friend's birthday.;;;;;;;일상 생활
266;facility;일상 및 여가 생활;명;시설;The hotel offers excellent facilities for guests, including a swimming pool and gym.;;;;;;;국제 및 지역
267;consult;정치, 법률 및 사회;동;상담하다;She consulted with her lawyer before signing the contract.;;;;;;;국제 및 지역
268;refer;일상 및 여가 생활;동;언급하다;In the report, please refer to Figure 1 for a graphical representation of the data.;;;;;;;국제 및 지역
269;attach;일상 및 여가 생활;동;붙이다;Please attach the document to your email before sending it to the client.;;;;;;;국제 및 지역
270;recover;일상 및 여가 생활;동;회복하다;It took her months to recover from the accident and regain her strength.;;;;;;;국제 및 지역
271;reward;일상 및 여가 생활;동;보답하다;The company rewarded employees who exceeded their targets with bonuses and incentives.;;;;;;;국제 및 지역
272;enormous;일상 및 여가 생활;형;엄청난;The company faced enormous challenges in its efforts to expand globally.;;;;;;;국제 및 지역
273;domestic;일상 및 여가 생활;형;국내의;Domestic violence is a serious issue that affects families worldwide.;;;;;;;국제 및 지역
274;wealth;경제, 금융 및 산업;명;부;The billionaire's wealth grew exponentially as his investments paid off.;;;;;;;비즈니스와 경제
275;elementary;일상 및 여가 생활;형;기초적인;The textbook covers elementary concepts in mathematics.;;;;;;;국제 및 지역
276;gap;일상 및 여가 생활;명;격차;The wealth gap between the rich and the poor continues to widen.;;;;;;;국제 및 지역
277;except;일상 및 여가 생활;동;제외하다;All students passed the exam except for one.;;;;;;;국제 및 지역
278;journey;일상 및 여가 생활;명;여행;Life is a journey, not a destination.;;;;;;;국제 및 지역
279;plain;일상 및 여가 생활;형;명백한;He made his intentions plain from the beginning.;;;;;;;국제 및 지역
280;downtown;일상 및 여가 생활;명;도심;The downtown area is bustling with activity day and night.;;;;;;;국제 및 지역
281;previous;교육과 학습;형;이전의;In the previous chapter, we discussed the basic principles of economics.;;;;;;;국제 및 지역
282;produce;일상 및 여가 생활;동;생산하다;The factory produces thousands of units every day to meet demand.;;;;;;;국제 및 지역
283;remain;일상 및 여가 생활;동;여전히 ~이다;Despite the challenges, he remained optimistic about the future.;;;;;;;국제 및 지역
284;break;일상 및 여가 생활;동;깨다;She needed a break from her hectic schedule to relax and recharge.;;;;;;;국제 및 지역
285;slight;일상 및 여가 생활;형;약간의;There was a slight delay in the delivery of the package.;;;;;;;국제 및 지역
286;include;일상 및 여가 생활;동;포함하다;The package includes all the necessary components for assembly.;;;;;;;과학과 기술
287;delay;음식과 요리;명;지연;The flight was delayed due to adverse weather conditions.;;;;;;;국제 및 지역
288;file;일상 및 여가 생활;명;서류철;Please place the document in the appropriate file for easy retrieval.;;;;;;;국제 및 지역
289;ethic;일상 및 여가 생활;명;윤리;The company's code of ethics prohibits discrimination and harassment in the workplace.;;;;;;;국제 및 지역
290;instant;일상 및 여가 생활;명;순간;The photograph captured a fleeting instant of joy and laughter.;;;;;;;국제 및 지역
291;reveal;일상 및 여가 생활;동;폭로하다;The investigation revealed the truth behind the mysterious disappearance.;;;;;;;국제 및 지역
292;breed;일상 및 여가 생활;동;낳다;The farmer breeds cattle for sale in the local market.;;;;;;;국제 및 지역
293;leisure;일상 및 여가 생활;명;여가;She spends her leisure time reading books and gardening in her backyard.;;;;;;;국제 및 지역
294;urban;일상 및 여가 생활;형;도시의;The urban sprawl has led to the destruction of natural habitats for wildlife.;;;;;;;국제 및 지역
295;witness;정치, 법률 및 사회;명;목격자;The witness testified in court about what he saw on the night of the crime.;;;;;;;국제 및 지역
296;admit;일상 및 여가 생활;동;인정하다;The university will admit a limited number of students into its prestigious program.;;;;;;;인간과 사회
297;muscle;건강과 의료;명;근육;Regular exercise helps to strengthen muscles and improve overall health.;;;;;;;국제 및 지역
298;device;과학과 기술;명;장치;The latest smartphone comes with advanced features and cutting-edge technology.;;;;;;;국제 및 지역
299;suppose;일상 및 여가 생활;동;추측하다;Suppose we increase the budget for marketing—how will that impact sales?;;;;;;;국제 및 지역
300;owe;일상 및 여가 생활;동;빚지고 있다;She owes her success to years of hard work and determination.;;;;;;;국제 및 지역
301;intend;일상 및 여가 생활;동;~할 작정이다, 의도하다;We intend to allocate resources efficiently for the project.;;;;;;;국제 및 지역
302;aspect;일상 및 여가 생활;명;면, 관점;Every aspect of the plan requires careful consideration.;;;;;;;국제 및 지역
303;potential;일상 및 여가 생활;형;잠재적인;The potential benefits of the new strategy are significant.;명;잠재력;Each potential for growth must be evaluated individually.;;;;국제 및 지역
304;award;과학과 기술;명;상;The prestigious award recognized her contributions to science.;동;(상 등을) 수여하다;The committee will award grants to deserving applicants.;;;;국제 및 지역
305;preserve;일상 및 여가 생활;동;보존하다, 보호하다;It's essential to preserve natural habitats for future generations.;;;;;;;국제 및 지역
306;spot;일상 및 여가 생활;명;장소, 점;Let's meet at our usual spot for lunch.;동;발견하다;The ranger spotted a rare species of bird in the forest.;;;;국제 및 지역
